Prophecy,>Years before the Jesus' birth ,Text,Testament,Category,Source
Commit his spirit into God's hand,500,Luke 23:46,New,Death and Resurrection,Luke
Be buried with the rich,500,Matthew 27:57-60,New,Death and Resurrection,Matthew
Be numbered (crucified) with transgressors,500,Matthew 27:38,New,Death and Resurrection,Matthew
Be numbered (crucified) with transgressors,500,Mark 15:27-28,New,Death and Resurrection,Mark
Be numbered (crucified) with transgressors,500,Luke 22:37,New,Death and Resurrection,Luke
Be numbered (crucified) with transgressors,500,Luke 23:32-33,New,Death and Resurrection,Luke
The thirty pieces of silver buy the potter's field,500,Matthew 27:38,New,Death and Resurrection,Matthew
The thirty pieces of silver buy the potter's field,500,Matthew 27:6-10,New,Death and Resurrection,Matthew
Be sold for thirty pieces of silver,500,Matthew 26:14-15,New,Death and Resurrection,Matthew
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",1200,John 1:29-36,New,Death and Resurrection,John
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,1 Corinthians 5:7-8,New,Death and Resurrection,1 Corinthians
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,1 Peter 1:18-19,New,Death and Resurrection,1 Peter
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,Revelation 5:6-13,New,Death and Resurrection,Revelation
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,Revelation 7:14,New,Death and Resurrection,Revelation
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,Revelation 21:22-27,New,Death and Resurrection,Revelation
"Be Passover male lamb, without blemish, slain, with blood applied as protection from judgment",500,Revelation 22:1-4,New,Death and Resurrection,Revelation
"Be lifted up, just as Moses lifted up a serpent",1200,John 3:14-15,New,Death and Resurrection,John
Be raised from the dead,800,Luke 24:6-8,New,Death and Resurrection,Luke
Be raised from the dead,800,John 20,New,Death and Resurrection,John
Be raised from the dead,800,Acts 1:3,New,Death and Resurrection,Acts
Be raised from the dead,800,Acts 2:32,New,Death and Resurrection,Acts
Be raised from the dead,800,Acts 13:34-37,New,Death and Resurrection,Acts
Be raised from the dead,800,2 Timothy 2:8,New,Death and Resurrection,2 Timothy
Conquer death through his resurrection,800,Acts 2:24-36,New,Death and Resurrection,Acts
Conquer death through his resurrection,800,Acts 13:30-39,New,Death and Resurrection,Acts
Conquer death through his resurrection,800,1 Corinthians 15:3-4,New,Death and Resurrection,1 Corinthians
Feel forsaken by God,800,Matthew 27:46,New,Death and Resurrection,Matthew
Feel forsaken by God,800,Mark 15:34,New,Death and Resurrection,Mark
Be mocked and insulted by many,800,Matthew 27:31,New,Death and Resurrection,Matthew
Be mocked and insulted by many,800,Matthew 27:39-43,New,Death and Resurrection,Matthew
Be mocked and insulted by many,800,Mark 15:29-32,New,Death and Resurrection,Mark
Be mocked and insulted by many,800,Luke 23:35-39,New,Death and Resurrection,Luke
Friends stand afar off,800,Matthew 26:56-58,New,Death and Resurrection,Matthew
Friends stand afar off,800,Matthew 27:55,New,Death and Resurrection,Matthew
Friends stand afar off,800,Mark 15:40,New,Death and Resurrection,Mark
Friends stand afar off,800,Luke 23:49,New,Death and Resurrection,Luke
Ascend on high,800,Luke 24:51,New,Death and Resurrection,Luke
Ascend on high,800,Acts 1:9,New,Death and Resurrection,Acts
Ascend on high,800,Ephesians 4:8,New,Death and Resurrection,Ephesians
Reproaches of others fall on him,800,Romans 15:3,New,Death and Resurrection,Romans
Another to succeed Judas,800,Acts 1:16-20,New,Death and Resurrection,Acts
Be a Son who is given,500,John 3:16,New,Death and Resurrection,John
Be a Son who is given,500,Romans 8:32,New,Death and Resurrection,Romans
Swallow up death in victory,500,1 Corinthians 15:54-57,New,Death and Resurrection,1 Corinthians
"Be mistreated, hardly recognized",500,Hebrews 5:8,New,Death and Resurrection,Hebrews
"Be mistreated, hardly recognized",500,1 Peter 2:21,New,Death and Resurrection,1 Peter
Bear our griefs and carry sorrows,500,Matthew 8:17,New,Death and Resurrection,Matthew
Bear our griefs and carry sorrows,500,Romans 5:6-8,New,Death and Resurrection,Romans
Be wounded for transgressions,500,1 Corinthians 15:3,New,Death and Resurrection,1 Corinthians
Be wounded for transgressions,500,2 Corinthians 5:21,New,Death and Resurrection,2 Corinthians
Be wounded for transgressions,500,1 Peter 3:18,New,Death and Resurrection,1 Peter
Be led as a Iamb to the slaughter,500,John  1:29,New,Death and Resurrection,1 Corinthians
Be led as a Iamb to the slaughter,500,John  1:36,New,Death and Resurrection,John
Be led as a Iamb to the slaughter,500,Acts 8:28-35,New,Death and Resurrection,Acts
Be led as a Iamb to the slaughter,500,1 Peter 1:19,New,Death and Resurrection,1 Peter
Be led as a Iamb to the slaughter,500,Revelation 5:6,New,Death and Resurrection,Revelation
Be sinless and without guile,500,1 Peter 2:22,New,Death and Resurrection,1 Peter
Make intercession for the transgressors,500,Luke 23:34,New,Death and Resurrection,Luke
Be made into an offering for sin,500,Acts 10:43,New,Death and Resurrection,Acts
Be made into an offering for sin,500,Acts 13:38-39,New,Death and Resurrection,Acts
Be made into an offering for sin,500,Romans 3:21-26,New,Death and Resurrection,Romans
Be made into an offering for sin,500,Romans 4:5-8,New,Death and Resurrection,Romans
Be made into an offering for sin,500,Ephesians 1:7,New,Death and Resurrection,Ephesians
Be made into an offering for sin,500,1 Peter 2:21-25,New,Death and Resurrection,1 Peter
Be made into an offering for sin,500,1 John 2:2,New,Death and Resurrection,1 John
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Matthew 21:1-5,New,Death and Resurrection,Matthew
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Matthew 1:15,New,Death and Resurrection,Matthew
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Matthew 24:1-2,New,Death and Resurrection,Matthew
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,Luke 19:37-38,New,Death and Resurrection,Luke
"Be ""cut off"" at a specific time after Jerusalem wall is rebuilt, before the temple is destroyed",500,John 12:13-15,New,Death and Resurrection,John
His body would be pierced,500,John 19:34-37,New,Death and Resurrection,John
"Shepherd smitten, sheep scattered (deserted by his lowers)",500,Matthew 26:31,New,Death and Resurrection,Matthew
"Shepherd smitten, sheep scattered (deserted by his lowers)",500,Matthew 26:56,New,Death and Resurrection,Matthew
"Shepherd smitten, sheep scattered (deserted by his lowers)",500,Mark 14:27,New,Death and Resurrection,Mark
"Shepherd smitten, sheep scattered (deserted by his lowers)",500,John 16:32,New,Death and Resurrection,John
I Am (Jehovah),1200,John 8:24,New,Titles and Attributes,John
I Am (Jehovah),1200,John 13:19,New,Titles and Attributes,John
A Prophet like Moses,1200,John 1:21,New,Titles and Attributes,John
A Prophet like Moses,1200,John 6:14,New,Titles and Attributes,John
A Prophet like Moses,1200,Acts 3:22-33,New,Titles and Attributes,Acts
A Prophet like Moses,1200,Hebrews 3:1-6,New,Titles and Attributes,Hebrews
The throne of David established forever,800,Luke 1:32-33,New,Titles and Attributes,Luke
The throne of David established forever,800,Acts 2:29-36,New,Titles and Attributes,Acts
The throne of David established forever,800,2 Timothy 2:8,New,Titles and Attributes,2 Timothy
The throne of David established forever,800,Hebrews 1:8,New,Titles and Attributes,Hebrews
The promised Redeemer,800,Galatians 4:4-5,New,Titles and Attributes,Galatians
The promised Redeemer,500,Titus 2:13-14,New,Titles and Attributes,Titus
The Son of God,800,Matthew 3:17,New,Titles and Attributes,Matthew
The Son of God,800,Matthew 8:29,New,Titles and Attributes,Matthew
The Son of God,800,Matthew 16:16,New,Titles and Attributes,Matthew
The Son of God,800,Mark 1:11,New,Titles and Attributes,Mark
The Son of God,800,Luke 1:32,New,Titles and Attributes,Luke
The Son of God,800,Luke 1:35,New,Titles and Attributes,Luke
The Son of God,800,Acts 13:33,New,Titles and Attributes,Acts
The Son of God,800,Hebrews 1:5,New,Titles and Attributes,Hebrews
The Son of God,800,Hebrews 5:5,New,Titles and Attributes,Hebrews
The Son of God,800,2 Peter 1:17,New,Titles and Attributes,2 Peter
Delights to do God's will,800,John 4:34,New,Titles and Attributes,John
Delights to do God's will,800,John 6:38,New,Titles and Attributes,John
"A King known for righteousness, anointed",800,Hebrews 1:8-9,New,Titles and Attributes,Hebrews
Seed of David,800,John 7:42,New,Titles and Attributes,John
Seed of David,800,Acts 13:22-23,New,Titles and Attributes,Acts
The firstborn over all creation,800,Romans 8:29,New,Titles and Attributes,Romans
The firstborn over all creation,800,Colossians 1:15,New,Titles and Attributes,Colossians
"Never changing, everlasting",800,Hebrews 1:10-12,New,Titles and Attributes,Hebrews
"Never changing, everlasting",800,Hebrews 13:8,New,Titles and Attributes,Hebrews
David's son; David's Lord at God's right hand,800,Matthew 22:41-45,New,Titles and Attributes,Matthew
David's son; David's Lord at God's right hand,800,Mark 12:35-37,New,Titles and Attributes,Mark
David's son; David's Lord at God's right hand,800,Mark 16:19,New,Titles and Attributes,Mark
David's son; David's Lord at God's right hand,800,Acts 7:56,New,Titles and Attributes,Acts
David's son; David's Lord at God's right hand,800,Romans 1:3,New,Titles and Attributes,Romans
David's son; David's Lord at God's right hand,800,Ephesians 1:20,New,Titles and Attributes,Ephesians
David's son; David's Lord at God's right hand,800,Hebrews 1:3,New,Titles and Attributes,Hebrews
A Priest according to the order of Melchizedek,800,Hebrews 5:5-6,New,Titles and Attributes,Hebrews
A Priest according to the order of Melchizedek,800,Hebrews 5:10,New,Titles and Attributes,Hebrews
A Priest according to the order of Melchizedek,800,Hebrews 6:20,New,Titles and Attributes,Hebrews
A Priest according to the order of Melchizedek,800,Hebrews 7:1-22,New,Titles and Attributes,Hebrews
The Chief Cornerstone,800,Matthew 21:42,New,Titles and Attributes,Matthew
The Chief Cornerstone,800,Mark 12:10-11,New,Titles and Attributes,Mark
The Chief Cornerstone,800,Luke 20:17,New,Titles and Attributes,Luke
The Chief Cornerstone,800,Acts 4:10-12,New,Titles and Attributes,Acts
The Chief Cornerstone,800,Ephesians 2:20,New,Titles and Attributes,Ephesians
The Chief Cornerstone,800,1 Peter 2:4-7,New,Titles and Attributes,1 Peter
The way of repentance for all nations,500,Luke 24:47,New,Titles and Attributes,Luke
"Immanuel, God with us",500,Matthew 1:21-23,New,Titles and Attributes,Matthew
"Immanuel, God with us",500,John 1:14,New,Titles and Attributes,John
"Immanuel, God with us",500,John 14:8-11,New,Titles and Attributes,John
"Immanuel, God with us",500,Colossians 2:9,New,Titles and Attributes,Colossians
"A stone of stumbling, a rock of offense",500,Matthew 21:42-44,New,Titles and Attributes,Matthew
"A stone of stumbling, a rock of offense",500,"Romans 9:32,33",New,Titles and Attributes,Romans
"A stone of stumbling, a rock of offense",500,1 Peter 2:6-8,New,Titles and Attributes,1 Peter
The light which has shone out of darkness,500,Matthew 4:14-16,New,Titles and Attributes,Matthew
The light which has shone out of darkness,500,Luke 2:32,New,Titles and Attributes,Luke
The light which has shone out of darkness,500,John 1:4-5,New,Titles and Attributes,John
Prince of Peace,500,John 14:27,New,Titles and Attributes,John
Prince of Peace,500,Acts 10:36,New,Titles and Attributes,Acts
Prince of Peace,500,Romans 5:1,New,Titles and Attributes,Romans
Prince of Peace,500,Ephesians 2:14,New,Titles and Attributes,Ephesians
Prince of Peace,500,Colossians 1:20,New,Titles and Attributes,Colossians
"Full of wisdom, power and righteousness",500,Acts 10:38,New,Titles and Attributes,Acts
"Full of wisdom, power and righteousness",500,1 Corinthians 1:30,New,Titles and Attributes,1 Corinthians
"Full of wisdom, power and righteousness",500,Ephesians 1:17,New,Titles and Attributes,Ephesians
"Full of wisdom, power and righteousness",500,Colossians 2:2-3,New,Titles and Attributes,Colossians
The key of the house of David is upon his shoulder,500,Revelation 3:7,New,Titles and Attributes,Revelation
"The stone in Zion, a sure foundation",500,Romans 9:33,New,Titles and Attributes,Romans
"The stone in Zion, a sure foundation",500,1 Peter 2:6,New,Titles and Attributes,1 Peter
"God's elect Servant, in whom he delights",500,Matthew 12:17-21,New,Titles and Attributes,Matthew
"God's elect Servant, in whom he delights",500,Philippians 2:7,New,Titles and Attributes,Philippians
Spirit of the LORD shall rest on him,500,Matthew 3:16,New,Titles and Attributes,Matthew
Spirit of the LORD shall rest on him,500,Luke 4:18,New,Titles and Attributes,Luke
The Righteous Branch,500,Romans 3:22,New,Titles and Attributes,Romans
The Righteous Branch,500,1 Corinthians 1:30,New,Titles and Attributes,1 Corinthians
The Righteous Branch,500,2 Corinthians 5:21,New,Titles and Attributes,2 Corinthians
The Righteous Branch,500,Philippians 3:9,New,Titles and Attributes,Philippians
The Good Shepherd,500,John 10:11,New,Titles and Attributes,John
The Good Shepherd,500,Hebrews 13:20,New,Titles and Attributes,Hebrews
The Good Shepherd,500,1 Peter 2:25,New,Titles and Attributes,1 Peter
The enthroned High Priest,500,Hebrews 7:11-28,New,Titles and Attributes,Hebrews
The enthroned High Priest,500,Hebrews 8:1-2,New,Titles and Attributes,Hebrews
Sun of Righteousness; the Dayspring; our Light,500,Luke 1:78,New,Titles and Attributes,Luke
Sun of Righteousness; the Dayspring; our Light,500,Ephesians 5:14,New,Titles and Attributes,Ephesians
Sun of Righteousness; the Dayspring; our Light,500,2 Peter 1:19,New,Titles and Attributes,2 Peter
Sun of Righteousness; the Dayspring; our Light,500,John 8:12,New,Titles and Attributes,John
Sun of Righteousness; the Dayspring; our Light,500,Revelation 2:28,New,Titles and Attributes,Revelation
Sun of Righteousness; the Dayspring; our Light,500,Revelation 22:16,New,Titles and Attributes,Revelation
